,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15
,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor
15,1,1,1,1,1,1,1,1,1,1,0.7237977205924956,1.3727857050906125,1.3727857050906125,1.0253317842382714,0.8772726135674055,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.7237977205924956,1.3727857050906125,1.3727857050906125,1.1479996892641287,1.1359873276390628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7690223892601038,1.1544794701845484,1.2936066304537963,1.2936066304537963,1.2936066304537963,1,1,1,1,1,1,1,1,1,1,0.7237977205924956,1.1332400914739207,1.3727857050906125,1.3727857050906125,1.3727857050906125,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,0.7093217661806457,1.4002414191924248,1.4002414191924248,1.0458384199230368,0.8948180658387536,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.7093217661806457,1.4002414191924248,1.4002414191924248,1.1479998035766876,1.1359876601445935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7536419414749017,1.154479454485954,1.3194787630628724,1.3194787630628724,1.3194787630628724,1,1,1,1,1,1,1,1,1,1,0.7093217661806457,1.1332400923517283,1.4002414191924248,1.3981402965940852,1.4002414191924248,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,0.6951353308570327,1.4282462475762734,1.4282462475762734,1.046273390464325,0.8952078998218549,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6951353308570327,1.4282462475762734,1.4282462475762734,1.147999837121192,1.135987757717102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7385691026454037,1.1544794272200816,1.3458683383241299,1.3458683383241299,1.3458683383241299,1,1,1,1,1,1,1,1,1,1,0.6951353308570327,1.133240091565151,1.4282462475762734,1.3981402951331703,1.4282462475762734,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,0.6812326242398921,1.4568111725277988,1.4568111725277988,1.0462704986771656,0.8952023219201716,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6812326242398921,1.4568111725277988,1.4568111725277988,1.1479996858786978,1.1359873177916975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7237977205924956,1.1544794918859742,1.3727857050906125,1.3727857050906125,1.3727857050906125,1,1,1,1,1,1,1,1,1,1,0.6812326242398921,1.1332400916187522,1.4568111725277988,1.3981402952329571,1.4568111725277988,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,0.6676079717550942,1.485947395978355,1.485947395978355,1.0462733904643644,0.8952078998219307,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6676079717550942,1.485947395978355,1.485947395978355,1.1479996892637698,1.1359873276380195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7093217661806457,1.154479225398687,1.4002414191924248,1.4002414191924248,1.4002414191924248,1,1,1,1,1,1,1,1,1,1,0.6676079717550942,1.1332400917080845,1.485947395978355,1.3981402953980338,1.485947395978355,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,0.6542558123199923,1.515666343897922,1.515666343897922,1.046273105713763,0.8952073505701901,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6542558123199923,1.515666343897922,1.515666343897922,1.1479996893271407,1.1359873278223478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6951353308570327,1.1544794788079475,1.4282462475762734,1.4282462475762734,1.4282462475762734,1,1,1,1,1,1,1,1,1,1,0.6542558123199923,1.1332400917769052,1.515666343897922,1.3981402954989537,1.515666343897922,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,0.6411706960735924,1.5459796707758806,1.5459796707758806,1.0462507811725192,0.8951642908278185,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6411706960735924,1.5459796707758806,1.5459796707758806,1.1479996892639062,1.135987327638416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6812326242398921,1.1544794918951966,1.4568111725277988,1.4330345796899244,1.4568111725277988,1,1,1,1,1,1,1,1,1,1,0.6411706960735924,1.1332400922220993,1.5459796707758806,1.3981402963178773,1.5459796707758806,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,0.6283472821521205,1.5768992641913981,1.5768992641913981,1.0462733289855486,0.895207781235656,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6283472821521205,1.5768992641913981,1.5768992641913981,1.147999837122594,1.135987757721181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6676079717550942,1.154479271358771,1.485947395978355,1.4330342583380296,1.485947395978355,1,1,1,1,1,1,1,1,1,1,0.6283472821521205,1.1332400919852723,1.5768992641913981,1.3981402958861633,1.5768992641913981,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,0.6157803365090782,1.6084372494752261,1.6084372494752261,1.046268508585323,0.8951984833114659,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6157803365090782,1.6084372494752261,1.6084372494752261,1.1479996835350226,1.135987310974548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6542558123199923,1.1544794940779766,1.515666343897922,1.4330345795934052,1.515666343897922,1,1,1,1,1,1,1,1,1,1,0.6157803365090782,1.1332400919533923,1.6084372494752261,1.3981402958515832,1.6084372494752261,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,0.6034647297788965,1.6406059944647307,1.6406059944647307,1.0462515211637518,0.895165718071563,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.6034647297788965,1.6406059944647307,1.6406059944647307,1.1479995878771232,1.135987032729893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6411706960735924,1.154479464655358,1.5459796707758806,1.4330345392591504,1.5459796707758806,1,1,1,1,1,1,1,1,1,1,0.6034647297788965,1.1332400922228654,1.6406059944647307,1.3981402963463274,1.6406059944647307,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1,0.5913954351833186,1.6734181143540252,1.6734181143540252,1.0462729597032985,0.8952070689325389,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.5913954351833186,1.6734181143540252,1.6734181143540252,1.1479996892637003,1.1359873276378183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6283472821521205,1.1544061819780207,1.5768992641913981,1.4329277065773802,1.5768992641913981,1,1,1,1,1,1,1,1,1,1,0.5913954351833186,1.1332400912220049,1.6734181143540252,1.398140294492901,1.6734181143540252,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,1,0.5795675264796523,1.7068864766411058,1.7068864766411058,1.0462513061853456,0.8951653034395546,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.5795675264796523,1.7068864766411058,1.7068864766411058,1.1479996892637796,1.1359873276380479,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6157803365090782,1.1544794918828298,1.6084372494752261,1.433034579690491,1.6084372494752261,1,1,1,1,1,1,1,1,1,1,0.5795675264796523,1.1332400929686257,1.7068864766411058,1.3981402976966106,1.7068864766411058,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,1,0.5679761759500592,1.741024206173928,1.741024206173928,1.046273390464109,0.8952078998214381,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.5679761759500592,1.741024206173928,1.741024206173928,1.1479996892633335,1.1359873276367511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6034647297788965,1.15447644449526,1.6406059944647307,1.4330301383545534,1.6406059944647307,1,1,1,1,1,1,1,1,1,1,0.5679761759500592,1.133240092695096,1.741024206173928,1.3981402971966876,1.741024206173928,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1,0.5566166524310581,1.7758446902974065,1.7758446902974065,1.0462733904346841,0.8952078997632983,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.5566166524310581,1.7758446902974065,1.7758446902974065,1.1479997622244908,1.1359875398620347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5913954351833186,1.1544861771364527,1.6734181143540252,1.4330443247010791,1.6734181143540252,1,1,1,1,1,1,1,1,1,1,0.5566166524310581,1.1332400926307038,1.7758446902974065,1.3981402970800565,1.7758446902974065,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1,0.5454843193824369,1.8113615841033548,1.8113615841033548,1.046273390464989,0.8952078998231352,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.5454843193824369,1.8113615841033548,1.8113615841033548,1.1479997599168774,1.1359875331497822,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5795675264796523,1.154479483006301,1.7068864766411058,1.4330345667631277,1.7068864766411058,1,1,1,1,1,1,1,1,1,1,0.5454843193824369,1.1332400925340294,1.8113615841033548,1.3981402969195897,1.8113615841033548,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1,0.5345746329947881,1.847588815785422,1.847588815785422,1.0474717637531472,0.8975244352067561,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.5345746329947881,1.847588815785422,1.847588815785422,1.1480289247155582,1.1360723717602386,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5679761759500592,1.1548231316477684,1.741024206173928,1.4335344215350572,1.741024206173928,1,1,1,1,1,1,1,1,1,1,0.5345746329947881,1.1332495349457203,1.847588815785422,1.3981576066430175,1.847588815785422,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,0.5238831403348924,1.8845405921011305,1.8845405921011305,1.04627113504959,0.8952035493993213,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.5238831403348924,1.8845405921011305,1.8845405921011305,1.147999837243539,1.1359877580729778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5566166524310581,1.154479492991937,1.7758446902974065,1.433034579641427,1.7758446902974065,1,1,1,1,1,1,1,1,1,1,0.5238831403348924,1.1332400930823212,1.8845405921011305,1.3981402979116817,1.8845405921011305,1,1,1,1,1,1,1,1,1,1
